Do you find this group...,,,,,,Since coming to this session I have...,,,,Coming to this group has helped me to...,,Coming to this group has enabled me to...,,,,,,Will you continue to come to the Reading Group?,Is there anything that would help you to enjoy the group more?,Would you like to be informed about other events at the library?  
Fun,Inspiring,Motivating,Interesting,Challenging,None of the above,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,Other (please specify),Feel more confident,Meet new people,Learn something new,Improve my existing skills,Read more,Try new authors,Discover more about the library,Other (please specify),Response,Open-Ended Response,Response
Fun,Inspiring,Motivating,Interesting,Challenging,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,Feel more confident,Meet new people,Learn something new,Improve my existing skills,Read more,Try new authors,Discover more about the library,,Yes,,Yes
Fun,,,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,Meet new people,,,,Try new authors,,,Yes,,Yes
,,,Interesting,Challenging,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,Meet new people,,,Read more,Try new authors,,,Yes,Perhaps more classics(not on a regular basis) but would be a change from recently published novels,Yes
Fun,Inspiring,Motivating,Interesting,Challenging,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,Feel more confident,Meet new people,Learn something new,Improve my existing skills,Read more,Try new authors,Discover more about the library,,Yes,No everything is there,Yes
Fun,Inspiring,,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,Feel more confident,Meet new people,Learn something new,,,Try new authors,Discover more about the library,,Yes,,Yes
Fun,Inspiring,Motivating,Interesting,Challenging,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,Feel more confident,Meet new people,Learn something new,,Read more,Try new authors,,,Yes,,Yes
Fun,Inspiring,Motivating,Interesting,Challenging,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,Feel more confident,Meet new people,Learn something new,,Read more,Try new authors,,,Yes,,Yes
Fun,,,Interesting,Challenging,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,Feel more confident,Meet new people,Learn something new,,Read more,Try new authors,,,Yes,Perfect as it is,Yes
Fun,,Motivating,Interesting,Challenging,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,Feel more confident,,Learn something new,Improve my existing skills,Read more,Try new authors,,,Yes,,
Fun,Inspiring,Motivating,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,Meet new people,,,,Try new authors,,,Yes,,Yes
Fun,,Motivating,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,Meet new people,Learn something new,Improve my existing skills,Read more,Try new authors,Discover more about the library,,Yes,,
Fun,Inspiring,Motivating,Interesting,Challenging,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,Meet new people,Learn something new,,Read more,Try new authors,,,Yes,A glass of would be good.,Yes
Fun,,,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,Meet new people,Learn something new,Improve my existing skills,Read more,Try new authors,Discover more about the library,,Yes,,Yes
,,,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,,,,,Try new authors,Discover more about the library,,Yes,,Yes
,,Motivating,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,,Learn something new,,,Try new authors,Discover more about the library,,Yes,,Yes
Fun,,Motivating,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,Meet new people,Learn something new,,,Try new authors,Discover more about the library,,Yes,,
,,Motivating,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,,Learn something new,,Read more,,Discover more about the library,,Yes,,Yes
Fun,,Motivating,,Challenging,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,Meet new people,Learn something new,,Read more,Try new authors,Discover more about the library,,Yes,,Yes
Fun,,,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,Meet new people,,,Read more,Try new authors,,,Yes,,Yes
,,,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,Meet new people,,,Read more,Try new authors,Discover more about the library,,Yes,,
Fun,Inspiring,Motivating,Interesting,Challenging,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,Feel more confident,Meet new people,Learn something new,Improve my existing skills,Read more,Try new authors,Discover more about the library,Enjoy poets I'd perhaps not otherwise try.,Yes,"It's a great group, so more of same (poetry group).",Yes
Fun,Inspiring,Motivating,Interesting,Challenging,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,Feel more confident,Meet new people,Learn something new,,,,,,Yes,,
Fun,,Motivating,Interesting,Challenging,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,Feel more confident,Meet new people,Learn something new,,Read more,Try new authors,Discover more about the library,,Yes,,
Fun,Inspiring,Motivating,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,Feel more confident,Meet new people,Learn something new,Improve my existing skills,Read more,Try new authors,,,Yes,,Yes
,,,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,Meet new people,Learn something new,,Read more,Try new authors,,,Yes,,
,Inspiring,,,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,Feel more confident,Meet new people,Learn something new,,Read more,Try new authors,,,Yes,,Yes
Fun,,,,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,Its lovely to have the 'space' to talk about books in a friendly setting.,Feel more confident,Meet new people,Learn something new,,Read more,Try new authors,,,Yes,If I managed to read all the books!,Yes
Fun,,,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,Feel more confident,Meet new people,Learn something new,,Read more,Try new authors,,,Yes,If more people came.,No
Fun,,Motivating,Interesting,Challenging,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,Feel more confident,Meet new people,Learn something new,Improve my existing skills,Read more,Try new authors,Discover more about the library,Links to author events and films,Yes,,Yes
,Inspiring,,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,Meet new people,Learn something new,,Read more,Try new authors,,,Yes,,Yes
Fun,,Motivating,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,,Learn something new,,Read more,Try new authors,Discover more about the library,,Yes,,Yes
Fun,Inspiring,,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,Feel more confident,Meet new people,Learn something new,Improve my existing skills,Read more,Try new authors,Discover more about the library,,Yes,We could have tea and coffee to drink.,Yes
,,,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,,Learn something new,,Read more,Try new authors,Discover more about the library,,Yes,,Yes
Fun,Inspiring,,,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,Meet new people,Learn something new,,Read more,Try new authors,Discover more about the library,,Yes,,Yes
,Inspiring,,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,Meet new people,Learn something new,,Read more,Try new authors,Discover more about the library,,Yes,,Yes
Fun,Inspiring,,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,Meet new people,Learn something new,,,Try new authors,Discover more about the library,,Yes,,Yes
,Inspiring,,Interesting,,,Enjoyed being part of a group,Enjoyed talking to others,Enjoyed listening to others,,,,Learn something new,,Read more,Try new authors,Discover more about the library,,Yes,,Yes
